Date,Open,High,Low,Close,Adj Close,Volume
2018-09-05,29.410000,29.940001,26.840000,28.510000,28.510000,257349000
2018-09-06,28.120001,28.580000,27.190001,27.840000,27.840000,143942900
2018-09-07,26.959999,28.270000,26.799999,27.379999,27.379999,123348700
2018-09-10,28.150000,29.930000,27.840000,29.889999,29.889999,162253800
2018-09-11,30.020000,30.590000,29.370001,30.100000,30.100000,159902500
2018-09-12,29.910000,32.290001,29.450001,32.209999,32.209999,197889600
2018-09-13,33.160000,34.139999,29.870001,30.480000,30.480000,304147100
2018-09-14,31.430000,33.090000,30.540001,32.720001,32.720001,217762800
2018-09-17,31.750000,33.230000,31.600000,32.430000,32.430000,180410600
2018-09-18,32.990002,33.369999,31.200001,31.930000,31.930000,176673200
2018-09-19,31.520000,31.830000,30.510000,31.209999,31.209999,124287000
2018-09-20,32.099998,32.200001,30.639999,31.180000,31.180000,123116500
2018-09-21,31.190001,32.419998,30.910000,31.020000,31.020000,129792900
2018-09-24,31.129999,32.650002,30.910000,32.610001,32.610001,118332600
2018-09-25,33.180000,33.599998,32.189999,32.570000,32.570000,118570200
2018-09-26,32.400002,32.599998,31.719999,32.189999,32.189999,79347300
2018-09-27,31.860001,32.630001,31.389999,32.590000,32.590000,87934400
2018-09-28,32.240002,32.779999,29.980000,30.889999,30.889999,165453500
2018-10-01,30.690001,31.910000,30.250000,31.420000,31.420000,94742900
2018-10-02,30.730000,30.820000,28.650000,29.020000,29.020000,145276500
2018-10-03,29.040001,29.219999,26.540001,28.430000,28.430000,190137200
2018-10-04,27.990000,28.830000,27.370001,27.780001,27.780001,95831200
2018-10-05,28.070000,28.469999,26.930000,27.350000,27.350000,88008500
2018-10-08,26.730000,27.540001,25.959999,26.459999,26.459999,103789500
2018-10-09,26.150000,27.709999,26.000000,27.240000,27.240000,105461800
2018-10-10,27.379999,27.400000,24.910000,25.000000,25.000000,147682900
2018-10-11,24.740000,26.200001,24.549999,25.299999,25.299999,147013800
2018-10-12,26.770000,26.969999,25.670000,26.340000,26.340000,111059400
2018-10-15,26.379999,26.770000,25.750000,26.260000,26.260000,70523500
2018-10-16,26.629999,28.230000,26.170000,28.180000,28.180000,92529000
2018-10-17,28.410000,28.530001,26.920000,27.299999,27.299999,89466900
2018-10-18,27.080000,27.750000,26.400000,26.620001,26.620001,79623700
2018-10-19,27.030001,27.100000,23.600000,23.660000,23.660000,130799900
2018-10-22,24.459999,25.639999,24.090000,25.030001,25.030001,114158900
2018-10-23,24.180000,25.260000,23.850000,25.090000,25.090000,101763000
2018-10-24,25.040001,25.100000,22.750000,22.790001,22.790001,134489100
2018-10-25,17.920000,20.150000,17.719999,19.270000,19.270000,189173700
2018-10-26,18.490000,18.780001,17.049999,17.629999,17.629999,119689000
2018-10-29,18.209999,18.230000,16.270000,16.850000,16.850000,94479600
2018-10-30,16.379999,17.240000,16.170000,17.200001,17.200001,99049400
2018-10-31,17.870001,18.340000,17.120001,18.209999,18.209999,110463700
2018-11-01,18.410000,20.330000,18.080000,20.219999,20.219999,136896500
2018-11-02,20.590000,21.059999,19.469999,20.230000,20.230000,123788000
2018-11-05,20.120001,20.180000,18.879999,19.900000,19.900000,108016700
2018-11-06,19.500000,21.650000,19.480000,20.680000,20.680000,144995700
2018-11-07,21.420000,22.219999,21.070000,21.840000,21.840000,121115800
2018-11-08,21.770000,22.080000,20.969999,21.200001,21.200001,92387600
2018-11-09,20.770000,21.190001,20.110001,21.030001,21.030001,85900700
2018-11-12,20.680000,20.850000,18.799999,19.030001,19.030001,95948200
2018-11-13,19.280001,20.020000,18.969999,19.610001,19.610001,76126000
2018-11-14,20.180000,21.110001,19.760000,20.809999,20.809999,106344300
2018-11-15,20.719999,21.770000,20.420000,21.490000,21.490000,97715500
2018-11-16,19.870001,20.969999,19.719999,20.660000,20.660000,112376600
2018-11-19,20.400000,20.590000,19.090000,19.110001,19.110001,93578200
2018-11-20,17.400000,19.580000,17.180000,19.209999,19.209999,109869400
2018-11-21,20.049999,20.309999,18.500000,18.730000,18.730000,81585600
2018-11-23,18.610001,19.830000,18.559999,19.379999,19.379999,54611300
2018-11-26,19.959999,20.190001,19.110001,20.080000,20.080000,83211000
2018-11-27,19.770000,21.450001,19.730000,21.049999,21.049999,119230100
2018-11-28,21.820000,21.879999,20.180000,21.340000,21.340000,134425300
2018-11-29,21.190001,21.610001,20.730000,21.430000,21.430000,79853700
2018-11-30,21.299999,21.360001,20.520000,21.299999,21.299999,82370700
2018-12-03,22.480000,23.750000,22.370001,23.709999,23.709999,139607400
2018-12-04,23.350000,23.420000,21.070000,21.120001,21.120001,127392900
2018-12-06,20.219999,21.410000,20.059999,21.299999,21.299999,103434700
2018-12-07,21.299999,21.379999,19.170000,19.459999,19.459999,105764500
2018-12-10,19.350000,20.129999,19.270000,19.990000,19.990000,77984500
2018-12-11,20.709999,21.139999,19.690001,19.980000,19.980000,88027400
2018-12-12,20.320000,21.020000,19.709999,20.480000,20.480000,100340700
2018-12-13,20.629999,20.870001,19.760000,19.860001,19.860001,88108300
2018-12-14,19.580000,20.700001,19.520000,19.900000,19.900000,84713600
2018-12-17,20.010000,20.020000,18.639999,18.830000,18.830000,115437900
2018-12-18,19.150000,19.840000,18.879999,19.500000,19.500000,101512900
2018-12-19,19.440001,19.719999,18.000000,18.160000,18.160000,120644500
2018-12-20,18.110001,18.860001,17.340000,17.940001,17.940001,119394500
2018-12-21,18.120001,18.340000,16.760000,16.930000,16.930000,132246000
2018-12-24,16.520000,17.219999,16.370001,16.650000,16.650000,62933100
2018-12-26,16.879999,17.910000,16.030001,17.900000,17.900000,108811800
2018-12-27,17.430000,17.740000,16.440001,17.490000,17.490000,111373000
2018-12-28,17.530001,18.309999,17.139999,17.820000,17.820000,109214400
2018-12-31,18.150000,18.510000,17.850000,18.459999,18.459999,84732200
2019-01-02,18.010000,19.000000,17.980000,18.830000,18.830000,87148700
2019-01-03,18.420000,18.680000,16.940001,17.049999,17.049999,117277600
2019-01-04,17.549999,19.070000,17.430000,19.000000,19.000000,111878600
2019-01-07,19.440001,20.680000,19.000000,20.570000,20.570000,107157000
2019-01-08,21.190001,21.200001,19.680000,20.750000,20.750000,121271000
2019-01-09,20.889999,21.440001,20.070000,20.190001,20.190001,163944100
2019-01-10,19.760000,19.830000,18.900000,19.740000,19.740000,115629400
2019-01-11,19.469999,20.350000,19.190001,20.270000,20.270000,85110800
2019-01-14,19.959999,20.620001,19.750000,20.230000,20.230000,71350200
2019-01-15,20.440001,20.680000,20.260000,20.379999,20.379999,62785800
2019-01-16,20.400000,20.540001,19.709999,19.730000,19.730000,70849300
2019-01-17,19.490000,20.510000,19.020000,20.250000,20.250000,85018400
2019-01-18,20.370001,21.049999,20.020000,20.770000,20.770000,88131000
2019-01-22,20.480000,20.920000,19.700001,19.760000,19.760000,78513700
2019-01-23,20.030001,20.480000,19.549999,19.799999,19.799999,77811300
2019-01-24,20.059999,21.010000,20.040001,20.850000,20.850000,97433400
2019-01-25,20.990000,22.030001,20.790001,21.930000,21.930000,110239500
2019-01-28,20.320000,21.010000,20.020000,20.180000,20.180000,135164100
2019-01-29,20.260000,20.389999,19.049999,19.250000,19.250000,131202500
2019-01-30,21.490000,23.129999,21.370001,23.090000,23.090000,211421200
2019-01-31,23.020000,25.139999,22.830000,24.410000,24.410000,182575600
2019-02-01,24.610001,24.840000,24.070000,24.510000,24.510000,105356200
